"review_id","user_id","business_id","stars","date","text","useful","funny","cool"
"ClgrKJ6dqiM7vSKJBJ2w6Q","T5MGS0NHBCWgofZ6Q6Btng","dwQEZBFen2GdihLLfWeexA","4","2013-06-03","I've been here at least 5 times now and each time is better than the last. I Iove what they have done to improve the building and add outdoor dining. Service is always good here and on par with other top places in Mentor. I really suggest the chicken soup on a cold day it's very yummy! Everything I've had on the menu has been great.","0","0","0"
"69kni-xG6qtg9y3Hq_zw5g","unEY79t6hHECP9Yd58R1dg","dwQEZBFen2GdihLLfWeexA","4","2014-06-09","Ate here for lunch on a Sunday.  Arrived around 12:30, and there were a decent number of customers seated.Service was friendly and fast, food was excellent, and they have DRAFT BEER, including a couple of Mexican brews.This location is the best Don Tequila I have been to.","0","0","0"
"O5UfgCBj4osaEeolc_muUA","BYgAy3hu2s5GeiJ5WMuD0w","dwQEZBFen2GdihLLfWeexA","3","2011-06-14","Kind of disappointed with the previous reviews in the area of customer service because honestly there was none. We were the only patrons in the restaurant and the waiter seemed  inconvenienced by us being there. After he took our order he went and sat down in another booth and started playing on a computer. We did not get our food quickly like everyone else has said, as we were the only people here it shouldn't take as long as it takes for me to finish my beverage. Maybe it had something to do with the fact that the waiter was farting around instead of doing his job? They got three stars because despite the service the food was AMAZING and quite inexpensive. If you order a quesadilla you may want to order a la carte items as well because the quesadilla was the size of a large Taco which is odd.","0","0","0"
"Dq7iR4uVsVWPfqKqaLtmtw","iIZhrDYOmcyGdiWSWAldmw","dwQEZBFen2GdihLLfWeexA","5","2013-04-24","I eat here all the time and most of the staff are from Guadalajara.... Food is definately ""americanized"" and by that i mean tamed down in heat and changed a little for what americans expect.... But when i order my racos de carne asada with lime and cilantro and onions.... All i get are big smiles and HOT sauce.... So if your in the mood for authentic hotmexican food.... Just let the waiter know.. Hell guide you to a great choice!","0","0","0"
"CwiGJRzxJ0wOfgmA4yCdig","b7zWPM3MDi074PbSw9GSIA","dwQEZBFen2GdihLLfWeexA","5","2013-11-23","What a surprise!  The most amazing Mexican food I have ever tasted and I am a foodie. My husband and I ordered the table side guac.  Delicious!   Texas margaritas. Delicious!  Seafood burritos with fresh cilantro!  I will be salivating for them soon!  All of the food was so fresh!  You must try this place. We will try the Green Road location next as it is closer to our home.","0","0","0"
"DmVaJHiNO21faYMc74YegQ","vUeijF36ja09bwzjUkoNpA","dwQEZBFen2GdihLLfWeexA","2","2016-12-16","Amazingly good Mexican food but they rip you off EVERY time.  They scratch your order on a piece of paper with no descriptions and prices never add up. Its ALWAYS more. We have checked this several tines and wrote down everything we ordered and the prices on the menu and its been 20-30% higher consistently every time.  Its too bad they scam their customers like this because the food really is awesome.  Write down everything you order and be prepared to question your bill.","0","0","0"
"UR_LseKj5wZjLo-tCwwMIg","ciFYbNSdhRpHW0LofmmeEQ","dwQEZBFen2GdihLLfWeexA","5","2014-03-21","We came here for the first time to celebrate my birthday.  We ate a ton of fresh chips in advance of the meal, the salsa was pretty mild.I had the Chori pollo, which is a burrito with chorizo and chicken with rice.  Man, it was amazing. Hot and spicy with peppers, I took some of the huge portion home and ate it the next day.  The service was seriously, amazingly fast for a group of 4, and they kept our drinks regularly filled.","1","0","0"
"DTTZFF-izUvZbrmP_4b2Jg","xevJes9a3TJOsuasqVpidA","dwQEZBFen2GdihLLfWeexA","3","2015-09-13","We have just moved from Austin,TX to NE Ohio and are searching for our new favorite Mexican restaurant.  We were greeted promptly and brought to our table.  The chips were fresh and warm.  The salsa was a little blander than we care for.  Service seemed slow, but in all fairness it was Saturday evening.  I ordered the Lobster Enchiladas which had pieces of lobster saut̩ed with onion and tomato wrapped in a fresh corn tortilla.  It was average.  My husband had the Burrito Especial with a chicken burrito and a beef tip burrito.  Hubby said it was above average.  The rice had a nice flavor with an aftertaste of tomato and cilantro.  We were disappointed with the lack of complex flavor profiles that we have become accustomed to while living in the Southwest.  Overall, we rated it as adequate to good.","0","0","0"
"iDRXhARsx77_IpWhey58Gg","9Y_HfxjyZU7ltQ3VY3Wj-A","dwQEZBFen2GdihLLfWeexA","1","2014-11-21","The food isn't bad, but every time I come here with friends they overcharge us. We end up getting charged at least a few dollars more than our menu items should be when we check out, and it's happened on several different occasions. Though the food may have been good and reasonably priced (on the menu, not on the bill), we will unfortunately never be going back. Very disappointing.","1","0","0"
"6sX7YcBhK0ASD8kLdVdCnw","9CiRp71NmS_AP74rW-1gdg","dwQEZBFen2GdihLLfWeexA","3","2010-03-29","First time I eat here I came with friends who told me the food was the most authentic Mexican food they ever had, well it was not for me since it's not really Mexican but Tex Mex really. It wasn't bad but nothing to write home about either, I ordered a pi̱a colada and the waiter spill it over me without replacing it not good at all, the place tries so hard to be unique and as Mexican as can be but it is just a caricature and a stereotype of anything Mexican honestly I was waiting for the three amigos to come out of the bathroom or something I despise decoration like this  and it affected the overall rating. Second time there food was not as good I ordered a dish that included carnitas in it but they were missing I told my waiter he apologized brought them in told me he was sorry but he charged me for them anyways even though they were supposed to be included. Not as bad as others but not great by any means.","1","0","0"
"mvThe_xt5r-nXwM4btoxeA","xlp2qzyxgBg31wFHSDhKww","dwQEZBFen2GdihLLfWeexA","4","2010-03-20","With everywhere else packed on a Friday night, we wondered in, not expecting much quite honestly. We both ordered off the specials menu, and my husband barely managed to squeeze in his standard 'where's my burrito' before two large plates, overflowing with food, arrived in front of us.The food itself was good. Mexican food can too easily be greasy, but this was not. The menu is nothing startling, but the classic mexican dishes were all on the mark. And there was enough left over for a second meal tomorrow.Prices were very reasonable - our total bill, including tips, was less than $25.  Definitely planning another visit.","3","0","2"
"SzI_v454Dd6HmxSi-wSZPw","vkOWrnWgPhgpqev9ZanAnw","dwQEZBFen2GdihLLfWeexA","2","2013-09-11","i don't understand all of the high marks for the this place. the chips were not good and the salsa wasn't good either.. the chips were bland, old and not seasoned at all, the salsa represented canned tomato taste, yuk, the chix enchilada was flavorless, while using white meat chicken it was not seasoned and very chewy, it had no flavor whatsoever and was definitely something ""not"" to order. the  most off putting thing about the place is the filthiness of all the furniture and the fact that we had fruit flies buzzing our table thru out our meal. while el rodeo and el patron are nearby, and have far better food,i cant understand what the attraction is to this place, will not be back","0","0","0"
"rwzyKNL1bA54asCoTGiQUA","eyYzBULJ8uIi41drYCctuw","dwQEZBFen2GdihLLfWeexA","4","2010-08-22","On a recent trip to Kirtland, OH.Decided to try even though the outside appearance was somewhat questionable.But nice simple decor inside.  Friendly waitress who gave good tips from the menu.We both had the Tres Amigos.  Nice chicken, steak, shrimp combo.","0","0","0"
"1JgdQwRj4IrGaNfQIoxF1Q","KQ-gI-xsZzq5xeHYev6eYg","dwQEZBFen2GdihLLfWeexA","5","2011-07-26","If you blink. You will miss this little eatery, squished into the corner of a small strip mall in Mentor, Ohio.I went with a friend of mine from the area, who was treated like a rock star when he arrived (well, he IS a rock star), and that's indicative of the casual and familial vibe at this restaurant.  I didn't take notes - too busy enjoying the company - but I'm pretty sure I got a burrito and it was delicious.  Margaritas were excellent (this much I do remember) and service was quick and pleasant.  Now that I know that this place exists, it gives me even more reason to travel to the northern tip of Ohio for good company and eats!","0","0","2"
